gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
AL035530.2	0.121136745139507	0.00607899348382932	0.037	0.019	1	RCHACV	0.38573746477956	Expanded NK-treated
AC004771.3	0.121243294182974	0.00313263631664022	0.009	0.003	1	RCHACV	0.385981504284641	Expanded NK-treated
ERMARD	0.121259110936288	0.00718727664352015	0.096	0.056	1	RCHACV	0.385981504284641	Expanded NK-treated
ANGPTL6	0.121262810924786	0.00313606710727243	0.009	0.003	1	RCHACV	0.385981504284641	Expanded NK-treated
GTSE1-DT	0.121283757745991	0.00249787123247882	0.006	0.002	1	RCHACV	0.385995733285604	Expanded NK-treated
UBE2D4	0.121310187567731	0.00716440248272438	0.169	0.102	1	RCHACV	0.386027406159905	Expanded NK-treated
ZNF385A	0.121337115621105	0.0109688336286659	0.094	0.056	1	RCHACV	0.386060655664216	Expanded NK-treated
CRYL1	0.121480276670972	0.00730209389645545	0.151	0.092	1	RCHACV	0.386432571627835	Expanded NK-treated
AC021097.1	0.121486997483203	0.00529534122324808	0.028	0.013	1	RCHACV	0.386432571627835	Expanded NK-treated
CCDC163	0.121535961962087	-0.00531774674372252	0.006	0.009	1	RCHACV	0.386535837752621	Expanded NK-treated
ABHD2	0.121609748424301	0.0112590047257551	0.201	0.128	1	RCHACV	0.386718009547454	Expanded NK-treated
PTCD2	0.121629753121091	0.00488161560383429	0.165	0.1	1	RCHACV	0.386729129528747	Expanded NK-treated
GALK2	0.12169081059658	0.00523730926873489	0.166	0.098	1	RCHACV	0.386858487281322	Expanded NK-treated
KCNA7	0.121703464005777	0.00100453496448029	0.002	0	1	RCHACV	0.386858487281322	Expanded NK-treated
COX6A1	0.121756289937338	-0.0142244421194961	0.994	0.988	1	RCHACV	0.386973898299011	Expanded NK-treated
ELOVL5	0.121825593307202	-0.00118637263251897	0.754	0.637	1	RCHACV	0.387109983665534	Expanded NK-treated
RASGRF1	0.121832155613864	0.00152794936108465	0.003	0.001	1	RCHACV	0.387109983665534	Expanded NK-treated
FOXC1	0.121930862141025	-0.00445914619254552	0.002	0.004	1	RCHACV	0.387371075044451	Expanded NK-treated
LARS	0.122016036619923	-0.0300323920059598	0.916	0.817	1	RCHACV	0.387589110494227	Expanded NK-treated
KCTD15	0.122093839499429	0.00504318618798849	0.196	0.118	1	RCHACV	0.387764691634982	Expanded NK-treated
AL109628.2	0.12210468289903	0.00508978379159013	0.029	0.013	1	RCHACV	0.387764691634982	Expanded NK-treated
SERINC1	0.122137684956647	0.00106986416646326	0.322	0.21	1	RCHACV	0.387764691634982	Expanded NK-treated
TUSC2	0.12215956060888	-0.00727556062570112	0.528	0.384	1	RCHACV	0.387764691634982	Expanded NK-treated
AL117336.1	0.122179367670599	-0.00241971346507833	0.001	0.003	1	RCHACV	0.387764691634982	Expanded NK-treated
HAUS5	0.12218102568578	0.00329191759626593	0.229	0.144	1	RCHACV	0.387764691634982	Expanded NK-treated
CU638689.5	0.122187175210203	0.00664268268748853	0.046	0.024	1	RCHACV	0.387764691634982	Expanded NK-treated
AKAP12	0.122230282507911	0.021420941444819	0.978	0.963	1	RCHACV	0.387848954126077	Expanded NK-treated
THAP9-AS1	0.122283633070451	-0.00153926970899676	0.341	0.223	1	RCHACV	0.387965692299765	Expanded NK-treated
HS3ST1	0.122368955828048	0.00477498890414915	0.014	0.006	1	RCHACV	0.38818382236746	Expanded NK-treated
LINC01426	0.122396573236754	0.0048177898942339	0.022	0.01	1	RCHACV	0.388218862878071	Expanded NK-treated
ADAM15	0.12241324249507	0.00540385475385266	0.214	0.135	1	RCHACV	0.388219173132801	Expanded NK-treated
AL359715.2	0.122514821348843	0.000886775731434202	0.002	0	1	RCHACV	0.38847348220502	Expanded NK-treated
NKAIN3-IT1	0.122526595808806	0.00321615725025046	0.009	0.003	1	RCHACV	0.38847348220502	Expanded NK-treated
ST13	0.122583528901015	-0.089664895104985	0.971	0.94	1	RCHACV	0.38860139804656	Expanded NK-treated
IRX3	0.122606514817044	-0.00602227569264127	0.009	0.012	1	RCHACV	0.388618210728442	Expanded NK-treated
SC5D	0.122622009378266	0.00203073230527118	0.224	0.139	1	RCHACV	0.388618210728442	Expanded NK-treated
BLK	0.122661206773084	0.00319605785185373	0.827	0.727	1	RCHACV	0.388653128559013	Expanded NK-treated
AC092681.3	0.122676778754068	-0.00212485867936754	0.001	0.002	1	RCHACV	0.388653128559013	Expanded NK-treated
P2RY1	0.122682797016003	0.00769661457847833	0.079	0.043	1	RCHACV	0.388653128559013	Expanded NK-treated
DHX32	0.122721293073958	-0.0340669679579631	0.135	0.106	1	RCHACV	0.388722516609468	Expanded NK-treated
LINC02012	0.122809528200525	-0.00477526821123694	0.006	0.007	1	RCHACV	0.388949414242761	Expanded NK-treated
ARHGEF19	0.122869633512535	0.0059741184857646	0.088	0.048	1	RCHACV	0.389087172789693	Expanded NK-treated
ZNF117	0.122953286570452	-0.0521878564066636	0.253	0.191	1	RCHACV	0.389299451883496	Expanded NK-treated
BIRC6	0.123059256950266	-0.0165587859352208	0.664	0.515	1	RCHACV	0.389578886674574	Expanded NK-treated
CCDC77	0.123078652503843	-0.0464429938335441	0.256	0.196	1	RCHACV	0.389578886674574	Expanded NK-treated
MAFA	0.12309142951147	-0.00352627763804681	0.004	0.006	1	RCHACV	0.389578886674574	Expanded NK-treated
ALKBH3	0.123108713763128	-0.0294123948080489	0.142	0.114	1	RCHACV	0.38958095870982	Expanded NK-treated
MRPL52	0.123172306083356	-0.0202870549043206	0.917	0.841	1	RCHACV	0.389729553567638	Expanded NK-treated
HIST3H2A	0.123239243433086	-0.00507336936483957	0.005	0.008	1	RCHACV	0.389888690871966	Expanded NK-treated
TUBD1	0.123287571967965	0.00793948691864638	0.188	0.118	1	RCHACV	0.389988920941605	Expanded NK-treated
AC108066.2	0.123371782451335	0.00533400476010969	0.041	0.02	1	RCHACV	0.390202612054464	Expanded NK-treated
JUN	0.123404570353948	-0.0542822380116225	0.261	0.231	1	RCHACV	0.390253627116892	Expanded NK-treated
ART4	0.123514156786169	-0.00229131309797849	0.001	0.002	1	RCHACV	0.390499122922004	Expanded NK-treated
PHACTR2-AS1	0.123520181985612	-0.00415055084362444	0.001	0.003	1	RCHACV	0.390499122922004	Expanded NK-treated
AL158071.5	0.123535128236565	0.00190410358402142	0.003	0.001	1	RCHACV	0.390499122922004	Expanded NK-treated
TBC1D2	0.123554381982792	0.00495412546145002	0.022	0.01	1	RCHACV	0.390499122922004	Expanded NK-treated
AC010547.1	0.123565543954446	0.0014389360107314	0.003	0.001	1	RCHACV	0.390499122922004	Expanded NK-treated
C15orf62	0.12360673956972	0.0020028285890948	0.003	0.001	1	RCHACV	0.390538701965026	Expanded NK-treated
BCL2L13	0.123611408847512	0.00297202713579975	0.317	0.212	1	RCHACV	0.390538701965026	Expanded NK-treated
ZNF880	0.123788676729961	0.00625795832020251	0.142	0.087	1	RCHACV	0.391021792522268	Expanded NK-treated
TUBGCP2	0.123797696467224	-0.0108100282198332	0.528	0.383	1	RCHACV	0.391021792522268	Expanded NK-treated
KDM5A	0.12388079684454	-0.0151249144831723	0.729	0.594	1	RCHACV	0.391231521660426	Expanded NK-treated
PRKAG2-AS1	0.123969562035685	-0.0351361181239085	0.139	0.105	1	RCHACV	0.391459082060922	Expanded NK-treated
AC024560.3	0.124009681420922	-0.00312462983798967	0.002	0.004	1	RCHACV	0.391518654496592	Expanded NK-treated
DERL3	0.124021852350673	0.00543181382621352	0.128	0.075	1	RCHACV	0.391518654496592	Expanded NK-treated
AL157756.1	0.124063810054607	0.00276033100159264	0.006	0.001	1	RCHACV	0.391598339820707	Expanded NK-treated
LRIG1	0.124154707012203	0.00166359969713364	0.326	0.223	1	RCHACV	0.39178588709103	Expanded NK-treated
EID2	0.124156675022999	-0.00724500949163287	0.434	0.299	1	RCHACV	0.39178588709103	Expanded NK-treated
POLR2L	0.124188234096682	-0.0847758686426516	0.982	0.957	1	RCHACV	0.391832694974138	Expanded NK-treated
PGD	0.124206222428352	-0.0258510516908311	0.719	0.564	1	RCHACV	0.391836678269458	Expanded NK-treated
AC114271.1	0.124259327603304	0.00600210388878411	0.022	0.009	1	RCHACV	0.391945884833459	Expanded NK-treated
AP000866.2	0.124293041521079	-0.0110952915472817	0.02	0.02	1	RCHACV	0.391945884833459	Expanded NK-treated
PPP2CB	0.124306593669187	-0.00452818022270357	0.376	0.25	1	RCHACV	0.391945884833459	Expanded NK-treated
SCOC-AS1	0.124307761314406	0.00749892011357931	0.077	0.042	1	RCHACV	0.391945884833459	Expanded NK-treated
AC022405.1	0.124352465270874	-0.00460503351381841	0.003	0.004	1	RCHACV	0.39198446475353	Expanded NK-treated
SMARCE1	0.124367771423303	-0.020140312887057	0.96	0.906	1	RCHACV	0.39198446475353	Expanded NK-treated
PITPNA	0.12437019364464	-0.00846826975355403	0.49	0.347	1	RCHACV	0.39198446475353	Expanded NK-treated
NDUFAF8	0.12441785770018	-0.0271376904229952	0.91	0.827	1	RCHACV	0.392081941396573	Expanded NK-treated
TTC9C	0.12455203677431	-0.00883997265292574	0.497	0.353	1	RCHACV	0.392451992671387	Expanded NK-treated
GPR3	0.124595198270135	0.00159160103387291	0.003	0.001	1	RCHACV	0.392490500742399	Expanded NK-treated
SIGLEC15	0.124597765570548	-0.00422000765383231	0.003	0.005	1	RCHACV	0.392490500742399	Expanded NK-treated
