gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
PIK3C3	0.0328050183352211	-0.0278681579542426	0.286	0.286	1	697	0.247328606025855	Expanded NK-treated
TBK1	0.0328147144399103	0.0227864216091628	0.336	0.293	1	697	0.247328606025855	Expanded NK-treated
TSEN15	0.0328211744753229	0.0198138291416557	0.761	0.693	1	697	0.247328606025855	Expanded NK-treated
ATP2A2	0.0328391545093685	0.0281188006333017	0.785	0.722	1	697	0.247380125588049	Expanded NK-treated
GHRL	0.0329364182402361	0.00818092359058425	0.074	0.053	1	697	0.248028658389838	Expanded NK-treated
AC032011.1	0.032961025234393	0.00124805469422357	0.002	0	1	697	0.248053557331651	Expanded NK-treated
ZNF671	0.0329620718075843	0.00836816433475173	0.097	0.066	1	697	0.248053557331651	Expanded NK-treated
NPM1	0.0330390081640143	-0.0200537890500678	1	0.999	1	697	0.248548282358901	Expanded NK-treated
MECP2	0.0330544055313318	0.0184155676166727	0.462	0.397	1	697	0.248579878995788	Expanded NK-treated
HIST1H2BB	0.0332122544526161	0.019099262386023	0.302	0.252	1	697	0.249603891125311	Expanded NK-treated
MIS18BP1	0.0332130583055932	0.0237638665579798	0.524	0.462	1	697	0.249603891125311	Expanded NK-treated
SLC25A21	0.0332404259049407	-0.00302029104791874	0	0.004	1	697	0.249648685577682	Expanded NK-treated
MEN1	0.0332456433337968	0.0163901215325588	0.333	0.281	1	697	0.249648685577682	Expanded NK-treated
LRRC8B	0.0332527551014957	0.0169610546775559	0.347	0.298	1	697	0.249648685577682	Expanded NK-treated
GPANK1	0.0332725655123267	0.0250243805471549	0.61	0.558	1	697	0.249712966319693	Expanded NK-treated
GPALPP1	0.0332902197944234	0.0188678215138035	0.405	0.349	1	697	0.249761027183575	Expanded NK-treated
PVRIG	0.0333185749773157	-0.00292669003620555	0.001	0.005	1	697	0.249779223775781	Expanded NK-treated
FRMD5	0.0333318807636862	0.00358121422980181	0.015	0.007	1	697	0.249779223775781	Expanded NK-treated
GEMIN2	0.0333687385098627	0.0210771476345605	0.416	0.362	1	697	0.249779223775781	Expanded NK-treated
GON7	0.033368763560915	0.0234195819788469	0.646	0.586	1	697	0.249779223775781	Expanded NK-treated
HGF	0.0333721786201611	0.00393327316330603	0.009	0.003	1	697	0.249779223775781	Expanded NK-treated
ITPRIPL1	0.0333784113108939	0.0188275844538471	0.354	0.306	1	697	0.249779223775781	Expanded NK-treated
CD3E	0.0333811787320776	-0.0167497241911224	0.023	0.027	1	697	0.249779223775781	Expanded NK-treated
E2F1	0.0333826557181415	0.0234228486029691	0.628	0.561	1	697	0.249779223775781	Expanded NK-treated
PLEKHF2	0.0333957737657571	0.0277667803364178	0.646	0.594	1	697	0.249793186522847	Expanded NK-treated
AC012313.5	0.0334176246541963	0.00103185160296978	0.002	0	1	697	0.249872437629895	Expanded NK-treated
TNFSF9	0.033432366027233	0.00479186055465989	0.018	0.009	1	697	0.249898493536893	Expanded NK-treated
HBQ1	0.0334693008255942	-0.0031943115078973	0.001	0.005	1	697	0.250013013729621	Expanded NK-treated
FBXL19	0.0334702106668664	0.0144638894181158	0.216	0.177	1	697	0.250013013729621	Expanded NK-treated
MGST1	0.0334985244385633	0.00594874586093043	0.02	0.008	1	697	0.250140343940836	Expanded NK-treated
AKAP14	0.0335354096134308	0.00105186496219892	0.002	0	1	697	0.250248806871942	Expanded NK-treated
LINC01337	0.0335355946145959	0.00484217854648951	0.02	0.013	1	697	0.250248806871942	Expanded NK-treated
PIK3R4	0.033624445717029	0.0145993268738026	0.204	0.171	1	697	0.250827518453644	Expanded NK-treated
ZNF791	0.0336792103145349	-0.031592511134815	0.342	0.338	1	697	0.251041862047454	Expanded NK-treated
AC021851.1	0.0336842800754381	-0.0121765673016053	0.068	0.073	1	697	0.251041862047454	Expanded NK-treated
MRPL47	0.0336871039206922	0.0211844150313554	0.928	0.893	1	697	0.251041862047454	Expanded NK-treated
CHRNB4	0.0337021443329782	0.00123858612606134	0.002	0	1	697	0.251069665836281	Expanded NK-treated
ANO6	0.0337506114747995	0.0162437186037242	0.218	0.177	1	697	0.251226893322592	Expanded NK-treated
HADH	0.0337549281735308	0.0253927155458288	0.807	0.76	1	697	0.251226893322592	Expanded NK-treated
AC005562.1	0.0337571992243825	0.0154919687835494	0.27	0.226	1	697	0.251226893322592	Expanded NK-treated
PLA2G4A	0.033833977268795	0.00153198665311252	0.002	0	1	697	0.251713905954172	Expanded NK-treated
TMEM45B	0.0338466588979073	0.00149068714876618	0.003	0.001	1	697	0.251723895321119	Expanded NK-treated
AC008969.1	0.0339627839382155	-0.039496101588843	0.54	0.532	1	697	0.252476986779891	Expanded NK-treated
TESK2	0.0339706648428619	0.00443130546705452	0.018	0.01	1	697	0.252476986779891	Expanded NK-treated
ATP5F1D	0.0339966025802734	0.0190716650136373	0.996	0.992	1	697	0.252547482317317	Expanded NK-treated
PLEKHM2	0.0340029020111019	0.0133345689146218	0.262	0.208	1	697	0.252547482317317	Expanded NK-treated
AC067852.5	0.0340855525546888	0.00610638939883693	0.03	0.02	1	697	0.2529724764937	Expanded NK-treated
RTKN	0.0340932327972549	0.0103344605389221	0.115	0.088	1	697	0.2529724764937	Expanded NK-treated
SERPINB10	0.0340943085436554	0.00255954199014854	0.006	0.002	1	697	0.2529724764937	Expanded NK-treated
NUBP2	0.0341512235966406	0.0239240031017728	0.8	0.753	1	697	0.253301657710328	Expanded NK-treated
AL109840.2	0.0341637525986292	0.0044424777094294	0.02	0.01	1	697	0.253301657710328	Expanded NK-treated
CYHR1	0.0341729038217312	0.0215349853425896	0.66	0.605	1	697	0.253301657710328	Expanded NK-treated
DMD	0.0342330625367834	0.0319655106622259	0.644	0.571	1	697	0.253662879945458	Expanded NK-treated
FOXL2	0.0342509285407333	-0.0253450605713829	0.263	0.261	1	697	0.253690745535021	Expanded NK-treated
WDR77	0.0342596781582879	0.0217375119360979	0.661	0.612	1	697	0.253690745535021	Expanded NK-treated
ACSL1	0.0342868545873361	-0.0222260563945102	0.2	0.204	1	697	0.253807326388416	Expanded NK-treated
Z82217.1	0.0343149920323161	-0.0103819359294618	0.044	0.052	1	697	0.253818878464972	Expanded NK-treated
COX7B	0.0343277512256056	-0.0329393520316104	0.998	0.999	1	697	0.253818878464972	Expanded NK-treated
ZNF518B	0.0343287397430581	-0.0207336431216533	0.178	0.181	1	697	0.253818878464972	Expanded NK-treated
KANK1	0.0343453969300799	0.0255717909146601	0.513	0.457	1	697	0.253818878464972	Expanded NK-treated
RAPGEF5	0.0343455815724674	0.0179490218639639	0.424	0.358	1	697	0.253818878464972	Expanded NK-treated
PRKCQ	0.0344110484922088	0.0106858248636572	0.112	0.085	1	697	0.254079469052769	Expanded NK-treated
AC022167.2	0.0344122421678291	0.00466179764237684	0.019	0.011	1	697	0.254079469052769	Expanded NK-treated
PPP2CB	0.0344151785334088	0.0177741852754589	0.361	0.307	1	697	0.254079469052769	Expanded NK-treated
AC024940.1	0.0344275697335168	0.00281238454637545	0.01	0.004	1	697	0.25408645215561	Expanded NK-treated
AMHR2	0.0344412474072771	-0.00233008863795526	0	0.003	1	697	0.254102922047708	Expanded NK-treated
CTDSP2	0.0345206358436056	0.0172985568145957	0.365	0.314	1	697	0.254489746609475	Expanded NK-treated
THEM6	0.0345315566930068	0.0217903359284982	0.437	0.372	1	697	0.254489746609475	Expanded NK-treated
MYLPF	0.0345356408614948	0.00815769740105348	0.052	0.036	1	697	0.254489746609475	Expanded NK-treated
SERF1A	0.0345395318258715	0.00567623250876432	0.033	0.021	1	697	0.254489746609475	Expanded NK-treated
PIGF	0.0345549967927648	0.0171946418238563	0.488	0.42	1	697	0.254519219906894	Expanded NK-treated
ARID5A	0.0345777518300552	0.0116887042782738	0.158	0.119	1	697	0.254602351783491	Expanded NK-treated
EBF3	0.0345906475857099	0.0168919936260506	0.215	0.182	1	697	0.254612856897467	Expanded NK-treated
PLEKHG2	0.0346175085194155	0.014015658062431	0.192	0.154	1	697	0.254681500498994	Expanded NK-treated
SLC23A3	0.034634858079228	-0.00371610941734737	0.007	0.015	1	697	0.254681500498994	Expanded NK-treated
BORA	0.034640444534756	0.0126238360349729	0.182	0.143	1	697	0.254681500498994	Expanded NK-treated
ANKDD1A	0.0346458617795928	0.0065262679250909	0.038	0.024	1	697	0.254681500498994	Expanded NK-treated
TMEM106C	0.0346690816773655	0.0193127673969624	0.772	0.709	1	697	0.254767829605268	Expanded NK-treated
MTF2	0.0347095234983116	0.019385582773979	0.839	0.783	1	697	0.254980616036571	Expanded NK-treated
HIST1H4H	0.034736707555089	0.0196238534671749	0.429	0.37	1	697	0.255095900669195	Expanded NK-treated
SLC30A9	0.0347785190029971	0.0179572120278272	0.323	0.28	1	697	0.255318492680732	Expanded NK-treated
CSMD2	0.0348110653085996	-0.0013723801962026	0	0.003	1	697	0.25542902433305	Expanded NK-treated
ETS2	0.0348165868302616	-0.0505171314879013	0.757	0.746	1	697	0.25542902433305	Expanded NK-treated
ZNF668	0.0348296805362556	0.0136100122640961	0.219	0.169	1	697	0.255440669938842	Expanded NK-treated
ASPG	0.0349083476182216	0.00191238646221511	0.005	0.002	1	697	0.255879594819381	Expanded NK-treated
HACD2	0.0349141451066941	0.0182635797197474	0.404	0.341	1	697	0.255879594819381	Expanded NK-treated
PSMA4	0.0349280090567359	0.0173743502465458	0.997	0.994	1	697	0.255879594819381	Expanded NK-treated
