gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
GGT1	0.174054398935298	0.00120130041259074	0.001	0	1	KASUMI2	0.465066600645016	Expanded NK-treated
MIR181A1HG	0.174057198738052	-0.00961236011660771	0.55	0.42	1	KASUMI2	0.465066600645016	Expanded NK-treated
WDYHV1	0.174080314272814	0.0079766064391453	0.114	0.07	1	KASUMI2	0.465072431721876	Expanded NK-treated
AC010680.3	0.174123473808306	-0.00941765127009581	0.007	0.008	1	KASUMI2	0.46510649130483	Expanded NK-treated
PDPK1	0.174152673436413	0.00290730978256371	0.289	0.198	1	KASUMI2	0.46510649130483	Expanded NK-treated
KPNA3	0.174169507656046	-0.0110927789434294	0.553	0.424	1	KASUMI2	0.46510649130483	Expanded NK-treated
CCNG1	0.174176801892973	0.000524713492920825	0.409	0.307	1	KASUMI2	0.46510649130483	Expanded NK-treated
AL391684.1	0.174255945981422	-0.00985748838911969	0.009	0.011	1	KASUMI2	0.465211267206479	Expanded NK-treated
AC096861.2	0.1742579180669	0.00059823325162515	0.001	0	1	KASUMI2	0.465211267206479	Expanded NK-treated
VTA1	0.174433561574246	-0.0148012911986033	0.46	0.332	1	KASUMI2	0.465424799816312	Expanded NK-treated
MCF2L	0.174436454356485	0.000935356574374742	0.001	0	1	KASUMI2	0.465424799816312	Expanded NK-treated
AL513218.2	0.174439179977167	0.000962483026765548	0.001	0	1	KASUMI2	0.465424799816312	Expanded NK-treated
LINC02175	0.174441444338638	-0.00663577099981755	0.005	0.007	1	KASUMI2	0.465424799816312	Expanded NK-treated
AGAP1-IT1	0.174458317466801	0.00204036899283922	0.003	0.001	1	KASUMI2	0.465424799816312	Expanded NK-treated
TNS3	0.174463596924438	0.00678123275518725	0.033	0.016	1	KASUMI2	0.465424799816312	Expanded NK-treated
AP000787.1	0.174593413150011	0.00774343903459393	0.035	0.02	1	KASUMI2	0.465602245716495	Expanded NK-treated
FASTKD2	0.174610024226614	0.00483186172701172	0.26	0.181	1	KASUMI2	0.465602245716495	Expanded NK-treated
CELF6	0.17463470632436	0.00873675164606194	0.021	0.01	1	KASUMI2	0.465602245716495	Expanded NK-treated
PDGFRA	0.174641579280992	-0.00487165131571734	0.002	0.005	1	KASUMI2	0.465602245716495	Expanded NK-treated
MRPS35	0.174645003348018	-0.00887032732243254	0.652	0.521	1	KASUMI2	0.465602245716495	Expanded NK-treated
PAXIP1-AS1	0.174655854336826	0.000861972043567805	0.287	0.194	1	KASUMI2	0.465602245716495	Expanded NK-treated
