Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
R1_S123908	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	62469	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	15569482	13002504	1176863	0	1241844	9538552	83.51275912711804	quant	Wed Nov 16 14:46:41 2022	Wed Nov 16 14:54:47 2022
R20_S123889	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	58790	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10508475	8879500	772400	0	816642	6678584	84.49846433473934	quant	Wed Nov 16 15:42:19 2022	Wed Nov 16 15:47:25 2022
R21_S123892	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	67402	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	13712464	11640659	1049480	0	1109136	8402359	84.89108157366904	quant	Wed Nov 16 15:52:08 2022	Wed Nov 16 15:58:27 2022
R22_S123891	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	66612	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	11837928	9843175	968924	0	1023270	7180376	83.1494751446368	quant	Wed Nov 16 15:57:06 2022	Wed Nov 16 16:04:11 2022
R23_S123894	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	63935	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	12475201	10604452	827095	0	877012	8012339	85.00425764683071	quant	Wed Nov 16 15:33:20 2022	Wed Nov 16 15:39:43 2022
R24_S123893	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	72891	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	22178939	18726615	1657528	0	1747727	14111422	84.434223837308	quant	Wed Nov 16 15:33:48 2022	Wed Nov 16 15:42:11 2022
R25_S123896	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	63231	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	9996342	8335571	821235	0	863014	6339659	83.38621267659711	quant	Wed Nov 16 15:39:50 2022	Wed Nov 16 15:44:52 2022
R26_S123895	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	57682	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10144362	8486928	806960	0	849765	6586470	83.66152548578215	quant	Wed Nov 16 15:58:56 2022	Wed Nov 16 16:04:00 2022
R27_S123898	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	53910	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	7105770	5979348	485313	0	513609	4929542	84.14778412473244	quant	Wed Nov 16 15:47:32 2022	Wed Nov 16 15:51:57 2022
R28_S123897	1.8.0	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	137979	66	54802	False	['range_factorized', 'gzipped']	[481, 747, 1390, 2761, 100404]	02484848b755c4d7954eee66af9e4d42fd62f6b45c15c571755fe8d1f81cec8e	32412628e031ad491c4a18ea3462a8c1233afb3e1494ee417fb9ee59e80e103d	f0d73041544aca1dd3723ec2119dfe4595777702601346f48e9228253750775f54e3dbdaebe7dab76acdafeae029eae75ab0ea8d99c42cf8445c291092c29d59	0494c37784822d23e42d7637fc814d46ce9d0ebf859e1161b5d89c3cb6168be5fe590b888fa03d7acce776bfb693a36625abb1cfb1ae6ce8525fdd7c5759bf42	d55503ff5a9e0c9d4f2f825c29ce19c9bf6acb05e7d822ff7bae54dd6caad682	8641407f8119410b42e2910715d64bfda0e25ff8d4f071264f69e895d7fafecd	0	10104555	8499268	800718	0	845355	6167580	84.11323408106543	quant	Wed Nov 16 15:28:23 2022	Wed Nov 16 15:33:13 2022
