Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
S_51_0_S106482	Unknown Library	5004603.0	0.0	5429317.0	150942.0	3836050.0	0.0	0.0	0.766504	
S_52_0_S106481	Unknown Library	4635965.0	0.0	4833277.0	149061.0	3535591.0	0.0	0.0	0.762644	
S_53_0_S106484	Unknown Library	4586486.0	0.0	4953161.0	128272.0	3462555.0	0.0	0.0	0.754947	
S_54_0_S106483	Unknown Library	5222610.0	0.0	5669131.0	143573.0	4014460.0	0.0	0.0	0.768669	
S_55_0_S106486	Unknown Library	4540832.0	0.0	5032501.0	116498.0	3466770.0	0.0	0.0	0.763466	
S_56_0_S106485	Unknown Library	4728824.0	0.0	5041423.0	191592.0	3804882.0	0.0	0.0	0.804615	
S_57_0_S106488	Unknown Library	5113196.0	0.0	5484597.0	152235.0	3941797.0	0.0	0.0	0.770907	
S_58_0_S106487	Unknown Library	5352763.0	0.0	5575701.0	177516.0	4110804.0	0.0	0.0	0.767978	
S_59_0_S106490	Unknown Library	5175881.0	0.0	5190857.0	178498.0	4000205.0	0.0	0.0	0.772855	
S_5_0_S106448	Unknown Library	4857451.0	0.0	5051964.0	130133.0	3731116.0	0.0	0.0	0.768122	
S_5_0_S115923	Unknown Library	7358690.0	0.0	9173952.0	411763.0	6620970.0	0.0	0.0	0.899748	
S_60_0_S106489	Unknown Library	4551755.0	0.0	4770665.0	145085.0	3470874.0	0.0	0.0	0.762535	
S_61_0_S106492	Unknown Library	5518155.0	0.0	6021212.0	194925.0	4421038.0	0.0	0.0	0.80118	
S_62_0_S106491	Unknown Library	4430154.0	0.0	5000850.0	137472.0	3322437.0	0.0	0.0	0.74996	
S_63_0_S106494	Unknown Library	5010460.0	0.0	5594774.0	149892.0	3853621.0	0.0	0.0	0.769115	
S_64_0_S106493	Unknown Library	5530651.0	0.0	5699771.0	161236.0	4290367.0	0.0	0.0	0.775744	
S_65_0_S106496	Unknown Library	4757258.0	0.0	4891479.0	135843.0	3628499.0	0.0	0.0	0.762729	
S_66_0_S106495	Unknown Library	5417752.0	0.0	5439031.0	165928.0	4169070.0	0.0	0.0	0.76952	
S_67_0_S106498	Unknown Library	4756400.0	0.0	4906434.0	133032.0	3650642.0	0.0	0.0	0.767522	
S_68_0_S106497	Unknown Library	4626141.0	0.0	5167806.0	135373.0	3505594.0	0.0	0.0	0.757779	
S_69_0_S106500	Unknown Library	4755188.0	0.0	5782246.0	161559.0	3607524.0	0.0	0.0	0.75865	
S_6_0_S106447	Unknown Library	4718866.0	0.0	4851701.0	126454.0	3616991.0	0.0	0.0	0.766496	
S_6_0_S115922	Unknown Library	7035612.0	0.0	8831519.0	353724.0	6322161.0	0.0	0.0	0.898594	
S_70_0_S106499	Unknown Library	4218564.0	0.0	4572806.0	117019.0	3117021.0	0.0	0.0	0.738882	
S_71_0_S106502	Unknown Library	4445341.0	0.0	4822445.0	109817.0	3322735.0	0.0	0.0	0.747465	
S_72_0_S106501	Unknown Library	4987545.0	0.0	5382727.0	177454.0	3873061.0	0.0	0.0	0.776547	
S_73_0_S106504	Unknown Library	5130546.0	0.0	5492825.0	170468.0	3932202.0	0.0	0.0	0.76643	
S_74_0_S106503	Unknown Library	4301340.0	0.0	4696012.0	193880.0	3225567.0	0.0	0.0	0.749898	
S_75_0_S106506	Unknown Library	4302159.0	0.0	4770414.0	141744.0	3218322.0	0.0	0.0	0.748071	
S_76_0_S106505	Unknown Library	4046638.0	0.0	4502798.0	118859.0	3020835.0	0.0	0.0	0.746505	
S_77_0_S106508	Unknown Library	5086307.0	0.0	5501443.0	162705.0	3870436.0	0.0	0.0	0.760952	
S_78_0_S106507	Unknown Library	4347737.0	0.0	4728025.0	120860.0	3249679.0	0.0	0.0	0.747441	
S_79_0_S106510	Unknown Library	5402062.0	0.0	5878464.0	145182.0	4142727.0	0.0	0.0	0.766879	
S_7_0_S106450	Unknown Library	4087157.0	0.0	4241998.0	104998.0	3061246.0	0.0	0.0	0.748992	
S_7_0_S115925	Unknown Library	6703887.0	0.0	9003854.0	227314.0	6157503.0	0.0	0.0	0.918497	
S_80_0_S106509	Unknown Library	5501773.0	0.0	5825617.0	155533.0	4229284.0	0.0	0.0	0.768713	
S_81_0_S106512	Unknown Library	4865688.0	0.0	5262278.0	130318.0	3692222.0	0.0	0.0	0.758828	
S_82_0_S106511	Unknown Library	4160242.0	0.0	4243872.0	115285.0	3109129.0	0.0	0.0	0.747343	
S_83_0_S106514	Unknown Library	5157143.0	0.0	5360524.0	137560.0	3986854.0	0.0	0.0	0.773074	
S_84_0_S106513	Unknown Library	4320778.0	0.0	4431259.0	118096.0	3248459.0	0.0	0.0	0.751823	
S_85_0_S106516	Unknown Library	5061700.0	0.0	5350133.0	153582.0	3835266.0	0.0	0.0	0.757703	
