sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
S_18_0_S106453,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_18_0_S106453.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_18_0_S106453.bam,18
S_18_0_S115934,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_18_0_S115934.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_18_0_S115934.bam,18
S_19_0_S106456,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_19_0_S106456.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_19_0_S106456.bam,19
S_19_0_S115937,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_19_0_S115937.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_19_0_S115937.bam,19
S_2_0_S115918,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_2_0_S115918.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_2_0_S115918.bam,2
S_20_0_S106455,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_20_0_S106455.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_20_0_S106455.bam,20
S_20_0_S115936,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_20_0_S115936.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_20_0_S115936.bam,20
S_21_0_S106458,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_21_0_S106458.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_21_0_S106458.bam,21
S_21_0_S115939,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_21_0_S115939.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_21_0_S115939.bam,21
S_22_0_S115938,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_22_0_S115938.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_22_0_S115938.bam,22
S_23_0_S115941,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_23_0_S115941.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_23_0_S115941.bam,23
S_24_0_S115940,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_24_0_S115940.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_24_0_S115940.bam,24
S_25_0_S106457,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_25_0_S106457.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_25_0_S106457.bam,25
S_25_0_S115943,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_25_0_S115943.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_25_0_S115943.bam,25
S_26_0_S106460,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_26_0_S106460.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_26_0_S106460.bam,26
S_26_0_S115942,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_26_0_S115942.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_26_0_S115942.bam,26
